"user_id","average_day_between_orders","total_orders","total_items_purchased","reorder_ratio","cluster","segment"
1,30.00,10,59,0.6949,0,Potential Churn
2,13.00,14,195,0.4769,1,The Loyalist
3,15.00,12,88,0.6250,1,The Loyalist
4,0.00,5,18,0.0556,2,The Newcomer
5,19.00,4,37,0.3784,0,Potential Churn
6,12.00,3,14,0.1429,2,The Newcomer
7,7.00,20,206,0.6699,1,The Loyalist
8,30.00,3,49,0.2653,0,Potential Churn
9,30.00,3,76,0.2368,0,Potential Churn
10,23.00,5,143,0.3427,0,Potential Churn
11,30.00,7,94,0.3511,0,Potential Churn
12,30.00,5,74,0.1757,0,Potential Churn
13,6.00,12,81,0.6420,1,The Loyalist
14,7.00,13,210,0.3238,2,The Newcomer
15,14.00,22,72,0.8194,1,The Loyalist
16,26.00,6,70,0.3429,0,Potential Churn
17,27.00,40,294,0.7177,1,The Loyalist
18,4.00,6,39,0.2564,2,The Newcomer
19,8.00,9,204,0.3480,2,The Newcomer
20,7.00,4,22,0.6818,2,The Newcomer
21,30.00,33,205,0.5024,1,The Loyalist
22,30.00,15,69,0.5072,0,Potential Churn
23,30.00,4,40,0.1000,0,Potential Churn
24,14.00,18,38,0.5263,2,The Newcomer
25,30.00,3,21,0.0952,0,Potential Churn
26,7.00,12,56,0.3929,2,The Newcomer
27,6.00,81,768,0.7135,1,The Loyalist
28,13.00,24,183,0.4208,1,The Loyalist
29,14.00,18,225,0.7022,1,The Loyalist
30,30.00,8,11,0.4545,0,Potential Churn
31,0.00,20,299,0.3645,1,The Loyalist
32,30.00,5,114,0.2982,0,Potential Churn
33,30.00,3,53,0.3585,0,Potential Churn
34,21.00,5,32,0.1875,0,Potential Churn
35,28.00,9,184,0.5109,0,Potential Churn
36,7.00,37,153,0.6405,1,The Loyalist
37,6.00,23,188,0.4468,1,The Loyalist
38,30.00,12,195,0.5487,0,Potential Churn
39,30.00,7,141,0.5177,0,Potential Churn
40,14.00,9,104,0.6538,1,The Loyalist
41,27.00,5,65,0.2769,0,Potential Churn
42,14.00,16,133,0.5489,1,The Loyalist
43,9.00,11,147,0.4014,2,The Newcomer
